#Release 14.7 - reportgen P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Tue Jul 28 15:45:48 2015

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       x353.ncd
#OUTPUT FILE:      x353_pad.csv
#PART TYPE:        xc3s1200e
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
B11,D<12>,IOB,IO_L05N_0/VREF_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
B12,,,VCCO_0,,,0,,,,,3.30,,,,
B13,BROUT,IOB,IO_L03P_0,OUTPUT,LVCMOS33,0,4,SLOW,NONE**,,,LOCATED,NO,NONE,
B14,DACK0,IBUF,IO_L01P_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,NO,NONE,
B15,,,TMS,,,,,,,,,,,,
B16,BRIN,IBUF,IP,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
C1,ARO,IOB,IO_L02P_3,OUTPUT,LVCMOS25*,3,4,SLOW,NONE**,,,LOCATED,NO,NONE,
C2,,DIFFS,IO_L02N_3/VREF_3, ,,3,,,,,1.25,,,,
C3,D<21>,IOB,IO_L19P_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
C4,EXT<0>,IOB,IO_L18N_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
C5,EXT<1>,IOB,IO_L18P_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
C6,EXT<5>,IOB,IO_L15P_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
C7,EXT<6>,IOB,IO_L13N_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
C8,D<30>,IOB,IO_L11P_0/GCLK10,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
C9,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
C10,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C11,D<10>,IOB,IO_L05P_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
C12,,DIFFSI,IP_L02N_0,UNUSED,,0,,,,,,,,,
C13,,IBUF,IP,UNUSED,,0,,,,,,,,,
C14,,,TDO,,,,,,,,,,,,
C15,DREQ0,IOB,IO_L19N_1/LDC2,OUTPUT,LVCMOS33,1,4,SLOW,NONE**,,,LOCATED,YES,NONE,
C16,SYS_BUSEN,IOB,IO_L19P_1/LDC1,OUTPUT,LVCMOS33,1,4,SLOW,NONE**,,,LOCATED,NO,NONE,
D1,SENSPGM,IOB,IO_L05P_3,BIDIR,LVCMOS25*,3,12,SLOW,PULLUP,NONE,,LOCATED,NO,NONE,
D2,,IBUF,IP,UNUSED,,3,,,,,,,,,
D3,,,PROG_B,,,,,,,,,,,,
D4,,,VCCINT,,,,,,,,1.2,,,,
D5,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
D6,EXT<4>,IOB,IO_L15N_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
D7,EXT<9>,IOB,IO_L14N_0/VREF_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
D8,D<31>,IOB,IO_L11N_0/GCLK11,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
D9,D<13>,IOB,IO/VREF_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
D10,DREQ1,IOB,IO_L06P_0,OUTPUT,LVCMOS33,0,4,SLOW,NONE**,,,LOCATED,YES,NONE,
D11,BG,IOB,IO_L04P_0,TRISTATE,LVCMOS33,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D12,,DIFFMI,IP_L02P_0,UNUSED,,0,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,
D14,A<0>,IBUF,IO_L18N_1/LDC0,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
D15,IRQ,IOB,IO_L18P_1/HDC,OUTPUT,LVCMOS33,1,8,SLOW,NONE**,,,LOCATED,NO,NONE,
D16,CE,IBUF,IP/VREF_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
E1,ARST,IOB,IO_L05N_3,OUTPUT,LVCMOS25*,3,4,SLOW,NONE**,,,LOCATED,NO,NONE,
E2,,,VCCO_3,,,3,,,,,2.50,,,,
E3,MRST,IOB,IO_L03P_3,BIDIR,LVCMOS25*,3,4,SLOW,PULLUP,NONE,,LOCATED,NO,NONE,
E4,SDA0,IOB,IO_L03N_3,BIDIR,LVCMOS25*,3,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
E7,EXT<8>,IOB,IO_L14P_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
E8,EXT<11>,IOB,IO_L12P_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
E9,D<18>,IOB,IO_L08P_0/GCLK4,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
E10,D<25>,IOB,IO_L06N_0,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
E11,A<3>,IBUF,IO_L04N_0,INPUT,LVCMOS33,0,,,,NONE,,LOCATED,YES,NONE,
E12,,,VCCINT,,,,,,,,1.2,,,,
E13,A<4>,IBUF,IO_L17P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
E14,CE1,IBUF,IP,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
E15,,,VCCO_1,,,1,,,,,3.30,,,,
E16,A<5>,IBUF,IO_L17N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
F1,,,VCCAUX,,,,,,,,2.5,,,,
F2,,IBUF,IP,UNUSED,,3,,,,,,,,,
F3,,DIFFM,IO_L04P_3,UNUSED,,3,,,,,,,,,
F4,,DIFFS,IO_L04N_3/VREF_3, ,,3,,,,,1.25,,,,
F5,,IBUF,IP,UNUSED,,3,,,,,,,,,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,3.30,,,,
F8,EXT<10>,IOB,IO_L12N_0,BIDIR,LVCMOS33,0,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
F9,D<20>,IOB,IO_L08N_0/GCLK5,BIDIR,LVCMOS33,0,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
F10,,,VCCO_0,,,0,,,,,3.30,,,,
F11,,,GND,,,,,,,,,,,,
F12,A<2>,IBUF,IO_L16N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
F13,A<1>,IBUF,IO_L16P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
F14,A<6>,IBUF,IO_L15P_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
F15,A<7>,IBUF,IO_L15N_1,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
F16,,,VCCAUX,,,,,,,,2.5,,,,
G1,,IBUF,IP/VREF_3, ,,3,,,,,1.25,,,,
G2,SCL0,IOB,IO_L07N_3,BIDIR,LVCMOS25*,3,12,SLOW,PULLUP,NONE,,LOCATED,NO,NONE,
G3,PXD<8>,IBUF,IO_L07P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
G4,PXD<7>,IBUF,IO_L06N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
G5,PXD<5>,IBUF,IO_L06P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
G6,,,VCCO_3,,,3,,,,,2.50,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCO_1,,,1,,,,,3.30,,,,
G12,,IBUF,IP,UNUSED,,1,,,,,,,,,
G13,,DIFFM,IO_L14P_1,UNUSED,,1,,,,,,,,,
G14,,DIFFS,IO_L14N_1/A0,UNUSED,,1,,,,,,,,,
G15,,DIFFM,IO_L13P_1/A2,UNUSED,,1,,,,,,,,,
G16,,DIFFS,IO_L13N_1/A1,UNUSED,,1,,,,,,,,,
H1,,IBUF,IP,UNUSED,,3,,,,,,,,,
H2,,,GND,,,,,,,,,,,,
H3,PXD<9>,IBUF,IO_L09P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
H4,PXD<6>,IBUF,IO_L09N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
H5,PXD<3>,IBUF,IO_L08P_3/LHCLK0,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
H6,PXD<1>,IBUF,IO_L08N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
H7,,,GND,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,D<22>,IOB,IO_L12N_1/A3/RHCLK7,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
H12,,DIFFM,IO_L12P_1/A4/RHCLK6,UNUSED,,1,,,,,,,,,
H13,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
H14,BA<0>,IOB,IO_L11N_1/A5/RHCLK5,TRISTATE,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H15,BA<1>,IOB,IO_L11P_1/A6/RHCLK4/IRDY1,TRISTATE,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H16,,IBUF,IP,UNUSED,,1,,,,,,,,,
J1,PXD<4>,IBUF,IO_L12P_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
J2,PXD<2>,IBUF,IO_L10P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
J3,PXD<0>,IBUF,IO_L10N_3/LHCLK5,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
J4,DUMMYVFEF,IOB,IO_L11N_3/LHCLK7,BIDIR,SSTL2_I,3,,,NONE**,NONE,,LOCATED,NO,NONE,
J5,HACT,IBUF,IO_L11P_3/LHCLK6,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
J6,ALWAYS0,IBUF,IP,INPUT,LVCMOS25*,3,,,PULLDOWN,NONE,,LOCATED,NO,NONE,
J7,,,GND,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,
J11,,IBUF,IP,UNUSED,,1,,,,,,,,,
J12,SYS_SDCLKI,IBUF,IP,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
J13,SYS_SDWE,IOB,IO_L10N_1/A7/RHCLK3/TRDY1,TRISTATE,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J14,SYS_SDCLK,IOB,IO_L10P_1/A8/RHCLK2,TRISTATE,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J15,,,GND,,,,,,,,,,,,
J16,SYS_SDCAS,IOB,IO_L09N_1/A9/RHCLK1,TRISTATE,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K1,VACT,IBUF,IO_L12N_3,INPUT,LVCMOS25*,3,,,,IFD,,LOCATED,YES,NONE,
K2,SDA<3>,IOB,IO_L13P_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
K3,SDA<1>,IOB,IO_L13N_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
K4,,IBUF,IP,UNUSED,,3,,,,,,,,,
K5,BPF,IBUF,IO_L15P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K6,,,VCCO_3,,,3,,,,,2.50,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCO_1,,,1,,,,,3.30,,,,
K12,D<17>,IOB,IO_L07N_1/A11,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
K13,D<29>,IOB,IO_L07P_1/A12,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
K14,D<24>,IOB,IO_L08N_1/VREF_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
K15,D<26>,IOB,IO_L08P_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
K16,SYS_SDRAS,IOB,IO_L09P_1/A10/RHCLK0,TRISTATE,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L1,,,VCCAUX,,,,,,,,2.5,,,,
L2,,DIFFS,IO_L14N_3/VREF_3, ,,3,,,,,1.25,,,,
L3,DCLK,IOB,IO_L14P_3,BIDIR,LVCMOS25*,3,4,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
L4,SDA<14>,IOB,IO_L17N_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
L5,,DIFFS,IO_L15N_3,UNUSED,,3,,,,,,,,,
L6,,,GND,,,,,,,,,,,,
L7,,,VCCO_2,,,2,,,,,2.50,,,,
L8,SDD<7>,IOB,IO_L09N_2/D6/GCLK13,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
L9,,DIFFM,IO_L13P_2/M0,UNUSED,,2,,,,,,,,,
L10,,,VCCO_2,,,2,,,,,2.50,,,,
L11,,,GND,,,,,,,,,,,,
L12,D<9>,IOB,IO_L05P_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
L13,D<3>,IOB,IO_L05N_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
L14,D<27>,IOB,IO_L06P_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
L15,D<28>,IOB,IO_L06N_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
L16,,,VCCAUX,,,,,,,,2.5,,,,
M1,SDA<2>,IOB,IO_L16P_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
M2,,,VCCO_3,,,3,,,,,2.50,,,,
M3,,IBUF,IP,UNUSED,,3,,,,,,,,,
M4,SDA<5>,IOB,IO_L17P_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,
M6,SDRAS,IOB,IO_L05P_2,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
M7,SDWE,IOB,IO,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
M8,SDLDM,IOB,IO_L09P_2/D7/GCLK12,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
M9,SDD<6>,IOB,IO_L13N_2/DIN/D0,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
M10,SDD<10>,IOB,IO_L15N_2,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
M11,,DIFFSI,IP_L17N_2,UNUSED,,2,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,WE,IBUF,IP,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,YES,NONE,
M14,OE,IBUF,IP,INPUT,LVCMOS33,1,,,,NONE,,LOCATED,NO,NONE,
M15,,,VCCO_1,,,1,,,,,3.30,,,,
M16,D<0>,IOB,IO_L04N_1/VREF_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
N1,SDA<10>,IOB,IO_L16N_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
N2,,IBUF,IP/VREF_3, ,,3,,,,,1.25,,,,
N3,,IBUF,IP,UNUSED,,3,,,,,,,,,
N4,,,VCCINT,,,,,,,,1.2,,,,
N5,SDA<8>,IOB,IO_L03N_2/MOSI/CSI_B,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
N6,SDCLKE,IOB,IO_L05N_2,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,NO,NONE,
N7,SDCAS,IOB,IO_L07P_2,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
N8,LDQS,IOB,IO_L10P_2/D4/GCLK14,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
N9,SDD<5>,IOB,IO_L12N_2/D1/GCLK3,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
N10,SDD<3>,IOB,IO_L15P_2,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
N11,,DIFFMI,IP_L17P_2,UNUSED,,2,,,,,,,,,
N12,SDD<2>,IOB,IO_L18N_2/A20,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,D<5>,IOB,IO_L03P_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
N15,D<1>,IOB,IO_L03N_1/VREF_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
N16,D<2>,IOB,IO_L04P_1,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P1,SDA<0>,IOB,IO_L18N_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
P2,SDA<13>,IOB,IO_L18P_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
P3,,DIFFM,IO_L01P_2/CSO_B,UNUSED,,2,,,,,,,,,
P4,,DIFFS,IO_L01N_2/INIT_B,UNUSED,,2,,,,,,,,,
P5,SDA<7>,IOB,IO_L03P_2/DOUT/BUSY,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
P6,SDA<11>,IOB,IO_L06N_2,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
P7,SDA<12>,IOB,IO_L07N_2,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
P8,UDQS,IOB,IO_L10N_2/D3/GCLK15,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
P9,SDD<8>,IOB,IO_L12P_2/D2/GCLK2,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
P10,SDD<9>,IOB,IO_L14P_2,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
P11,SDD<11>,IOB,IO_L16N_2/A22,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
P12,SDD<12>,IOB,IO_L18P_2/A21,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
P13,,IOB,IO/VREF_2, ,,2,,,,,1.25,,,,
P14,SDD<15>,IOB,IO_L20P_2/VS0/A17,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
P15,D<7>,IOB,IO_L02N_1/A13,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
P16,D<4>,IOB,IO_L02P_1/A14,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
R1,SDNCLK,DIFFS,IO_L19N_3,OUTPUT,DIFF_SSTL2_I,3,,,NONE**,,,LOCATED,NO,NONE,
R2,SDCLK,DIFFM,IO_L19P_3,OUTPUT,DIFF_SSTL2_I,3,,,NONE**,,,LOCATED,NO,NONE,
R3,SDCLK_FB,DIFFSI,IP_L02N_2,INPUT,DIFF_SSTL2_I,2,,,,NONE,,LOCATED,NO,NONE,
R4,,IOB,IO/VREF_2, ,,2,,,,,1.25,,,,
R5,,,VCCO_2,,,2,,,,,2.50,,,,
R6,SDA<9>,IOB,IO_L06P_2,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
R7,,DIFFMI,IP_L08P_2,UNUSED,,2,,,,,,,,,
R8,,,GND,,,,,,,,,,,,
R9,,DIFFSI,IP_L11N_2/M2/GCLK1,UNUSED,,2,,,,,,,,,
R10,,DIFFS,IO_L14N_2/VREF_2, ,,2,,,,,1.25,,,,
R11,SDD<4>,IOB,IO_L16P_2/A23,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
R12,,,VCCO_2,,,2,,,,,2.50,,,,
R13,SDD<13>,IOB,IO_L19N_2/VS1/A18,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
R14,SDD<0>,IOB,IO_L20N_2/CCLK,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
R15,D<8>,IOB,IO_L01N_1/A15,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
R16,D<6>,IOB,IO_L01P_1/A16,BIDIR,LVCMOS33,1,8,SLOW,NONE**,NONE,,LOCATED,YES,NONE,
T1,,,GND,,,,,,,,,,,,
T2,,IBUF,IP,UNUSED,,2,,,,,,,,,
T3,SDNCLK_FB,DIFFMI,IP_L02P_2,INPUT,DIFF_SSTL2_I,2,,,,NONE,,LOCATED,NO,NONE,
T4,SDA<4>,IOB,IO_L04P_2,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
T5,SDA<6>,IOB,IO_L04N_2,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
T6,,,VCCAUX,,,,,,,,2.5,,,,
T7,,DIFFSI,IP_L08N_2/VREF_2, ,,2,,,,,1.25,,,,
T8,SDUDM,IOB,IO/D5,OUTPUT,SSTL2_I,2,,,NONE**,,,LOCATED,YES,NONE,
T9,,DIFFMI,IP_L11P_2/RDWR_B/GCLK0,UNUSED,,2,,,,,,,,,
T10,,IOB,IO/M1,UNUSED,,2,,,,,,,,,
T11,,,VCCAUX,,,,,,,,2.5,,,,
T12,SDD<1>,IOB,IO,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
T13,SDD<14>,IOB,IO_L19P_2/VS2/A19,BIDIR,SSTL2_I,2,,,NONE**,NONE,,LOCATED,YES,NONE,
T14,,IBUF,IP,UNUSED,,2,,,,,,,,,
T15,,,DONE,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
